trip	from	to	distance(meters)
101	San Antonio Missions National Historical Park	Padre Island National Seashore	276738
102	Padre Island National Seashore	Palo Alto Battlefield National Historical Park	291144
103	Palo Alto Battlefield National Historical Park	Amistad National Recreation Area	626930
104	Amistad National Recreation Area	Rio Grande Wild and Scenic River	405477
105	Rio Grande Wild and Scenic River	Big Bend National Park	34649
106	Big Bend National Park	Fort Davis National Historic Site	223857
107	Fort Davis National Historic Site	Carlsbad Caverns National Park	290499
108	Carlsbad Caverns National Park	Guadalupe Mountains National Park	68534
109	Guadalupe Mountains National Park	Chamizal National Memorial	182330
110	Chamizal National Memorial	White Sands National Monument	161703
111	White Sands National Monument	Salinas Pueblo Missions National Monument	209079
112	Salinas Pueblo Missions National Monument	Petroglyph National Monument	171106
113	Petroglyph National Monument	Valles Caldera National Preserve	145916
114	Valles Caldera National Preserve	Bandelier National Monument	39422
115	Bandelier National Monument	Manhattan Project National Historical Park - New Mexico Unit	19548
116	Manhattan Project National Historical Park - New Mexico Unit	Pecos National Historical Park	114337
117	Pecos National Historical Park	Fort Union National Monument	114693
118	Fort Union National Monument	Capulin Volcano National Monument	202315
119	Capulin Volcano National Monument	Bent's Old Fort National Historic Site	213589
120	Bent's Old Fort National Historic Site	Sand Creek Massacre National Historic Site	138317
121	Sand Creek Massacre National Historic Site	Alibates Flint Quarries National Monument	409735
122	Alibates Flint Quarries National Monument	Lake Meredith National Recreation Area	33800
123	Lake Meredith National Recreation Area	Washita Battlefield National Historic Site	198835
124	Washita Battlefield National Historic Site	Fort Larned National Historic Site	334529
125	Fort Larned National Historic Site	Nicodemus National Historic Site	178997
126	Nicodemus National Historic Site	Niobrara National Scenic River	495550
127	Niobrara National Scenic River	Minuteman Missile National Historic Site	255977
128	Minuteman Missile National Historic Site	Badlands National Park	85408
129	Badlands National Park	Mount Rushmore National Memorial	109128
130	Mount Rushmore National Memorial	Jewel Cave National Monument	51432
131	Jewel Cave National Monument	Wind Cave National Park	51886
132	Wind Cave National Park	Agate Fossil Beds National Monument	204312
133	Agate Fossil Beds National Monument	Scotts Bluff National Monument	81177
134	Scotts Bluff National Monument	Fort Laramie National Historic Site	92473
135	Fort Laramie National Historic Site	Rocky Mountain National Park	347433
136	Rocky Mountain National Park	Florissant Fossil Beds National Monument	280893
137	Florissant Fossil Beds National Monument	Great Sand Dunes National Preserve	268231
138	Great Sand Dunes National Preserve	Great Sand Dunes National Park	1510
139	Great Sand Dunes National Park	Curecanti National Recreation Area	256103
140	Curecanti National Recreation Area	Black Canyon of the Gunnison National Park	58581
141	Black Canyon of the Gunnison National Park	Colorado National Monument	134871
142	Colorado National Monument	Dinosaur National Monument	250571
143	Dinosaur National Monument	Arches National Park	364837
144	Arches National Park	Canyonlands National Park	140408
145	Canyonlands National Park	Natural Bridges National Monument	182847
146	Natural Bridges National Monument	Capitol Reef National Park	236890
147	Capitol Reef National Park	Bryce Canyon National Park	209753
148	Bryce Canyon National Park	Rainbow Bridge National Monument	239869
149	Rainbow Bridge National Monument	Glen Canyon National Recreation Area	173
150	Glen Canyon National Recreation Area	Navajo National Monument	157264
151	Navajo National Monument	Petrified Forest National Park	312357
152	Petrified Forest National Park	Hubbell Trading Post National Historic Site	106266
153	Hubbell Trading Post National Historic Site	Canyon De Chelly National Monument	55262
154	Canyon De Chelly National Monument	Hovenweep National Monument	207363
155	Hovenweep National Monument	Yucca House National Monument	72082
156	Yucca House National Monument	Mesa Verde National Park	67622
157	Mesa Verde National Park	Aztec Ruins National Monument	142199
158	Aztec Ruins National Monument	Chaco Culture National Historical Park	122963
159	Chaco Culture National Historical Park	El Morro National Monument	204337
160	El Morro National Monument	El Malpais National Monument	158224
161	El Malpais National Monument	Gila Cliff Dwellings National Monument	412700
162	Gila Cliff Dwellings National Monument	Fort Bowie National Historic Site	244350
